담당,image_id,file,stratum,정답,예측,raw,후보,원인,메모
A,002991,002991.jpg,small,2021-03-20,2021-03-08,2021.03.20,2021-3-8:YYYY:p1@640:0.32,,
B,003011,003011.jpg,small,2021-12-11,NONE,11 12 2021,,,
A,003021,003021.jpg,small,2021-03-23,NONE,2021.03.23,,,
B,003023,003023.jpg,small,2021-11-01,NONE,2021.11.01,,,
A,003035,003035.jpg,mid,2022-08-28,2022-03-28,28 08 2022,2022-3-28:DMY4:p1@640:0.93,,
B,003042,003042.jpg,small,2022-01-17,NONE,17.JAN.2022,,,
A,003060,003060.jpg,small,2021-10-04,NONE,2021.10.04,,,
B,003123,003123.jpg,small,2021-09-15,NONE,15.09.2021 2,,,
A,003151,003151.jpg,small,2021-12-10,NONE,2021.12.10,,,
B,003164,003164.jpg,mid,2021-02-09,2024-02-09,2021 02 09,2024-2-9:YYYY:p1@640:0.29,,
A,003171,003171.jpg,large,2021-11-11,2021-11-NONE,2021.11.11 2,2020-12-None:YYYYMM:p1@1024+p2:0.96|2021-11-None:YYYYMM:p1@1024:0.95,,
B,003174,003174.jpg,large,2020-08-13,2022-08-13,2020/08/13,2020-8-13:YYYY:p1@640+p2:0.28|None-8-13:MMDD:p1@640:0.28|2020-8-13:YYYY:p2:0.17|2022-8-13:YYYY:p1@640:0.33,,
A,003175,003175.jpg,mid,2021-03-18,NONE,2021.03.18,,,
B,003182,003182.jpg,small,2021-06-14,NONE,14.06.2021,,,
A,003190,003190.jpg,small,2022-08-16,NONE,AUG 16 2022,,,
B,003194,003194.jpg,small,2021-07-13,NONE,21.07.13,,,
A,003197,003197.jpg,small,2022-11-05,2022-05-10,2022.11.05,2022-5-10:DMY4:p1@640:0.19,,
B,003202,003202.jpg,mid,2021-10-NONE,2021-10-01,10/2021,2021-10-1:DMY4:p1@640:0.25,,
A,003243,003243.jpg,mid,2021-07-NONE,NONE,07-21,,,
B,003244,003244.jpg,small,2021-07-NONE,NONE,2021.07,,,
A,003266,003266.jpg,large,2021-09-12,2020-09-NONE,12 09 2021 2,2020-9-None:MMYYYY:p1@640:0.17,,
B,003292,003292.jpg,large,2022-12-02,2022-01-08,2022/12/02,2022-1-8:DMY4:p1@640:0.29,,
A,003293,003293.jpg,small,2022-12-02,NONE-12-02,2022/12/02,None-12-2:MMDD:p1@640:0.43,,
B,003299,003299.jpg,mid,2022-10-NONE,NONE-03-21,Oct 2022,None-3-21:MMDD:p1@1024+p2:1.00,,
A,003304,003304.jpg,mid,2025-03-NONE,2025-03-07,03/2025,2025-3-None:MMYYYY:p1@1024:0.40|2025-3-7:DMY4:p2:0.22,,
B,003305,003305.jpg,small,2025-03-NONE,NONE,03/2025,,,
A,003307,003307.jpg,small,2020-09-01,2022-02-08,2020.09.01,2022-2-8:YYYY:p1@640:0.20,,
B,003311,003311.jpg,mid,2021-03-11,2021-03-20,11.03.2021 2,2021-3-20:YYYY:p1@640:0.29,,
A,003319,003319.jpg,small,2021-10-20,NONE,2021.10.20,,,
B,003325,003325.jpg,small,2021-06-01,NONE,01-JUN-2021,,,
A,003340,003340.jpg,large,2022-09-29,2022-07-NONE,29/SEP/2022,2022-7-None:YYMM:p1@640+p2:0.84,,
B,3346,3346.jpeg,large,2026-09-10,NONE,2026.09.10,,,
A,3350,3350.jpeg,large,2025-12-10,NONE,25.12.10 2,,,
B,3352,3352.jpeg,large,2025-12-10,NONE,25.12.10 2,,,
